V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0,0.000459962612507098,0,0.00356067561243565,0,0,0.000360187258972218,0.000118189108493959,0.00013778578558034,0,0.000197862009259776,0.000475449145683529,0,0.00300559929735291,0.000310176180909701,0.000904394326632138,0.000236335749336603,0.00132071729455071,0
0.000459962612507098,0,7.78091473451786e-05,0.00025959524226514,0,0.000610188243508531,0.00090194993644361,0.000824638077259557,0.000978010369938008,0,0.000680706822474712,0.000203856296629812,0.000242545822131787,0.000331498776984623,0.000913541976292435,0.000272958761530397,0.00182745584872847,6.52061874638537e-05,0
0,7.78091473451786e-05,0,0,0.00170034015874534,3.90174949250166e-06,0,3.60537465173422e-06,0,0.000586867478579951,7.38271910639356e-05,3.46453215922641e-05,0.00157042712110362,0,5.00298956913797e-06,0,0.000193120543924447,0,0
0.00356067561243565,0.00025959524226514,0,0,0,0,0.00018566627935375,0.000149040523331635,0.000184341889077822,0,0.000194235823908344,0.000752689491243209,0,0.00297043653245062,0.000156743894974254,0.000903817403695479,0.000107086063954834,0.00113188781048772,0
0,0,0.00170034015874534,0,0,0,0,0,0,0.000714909913122178,0,0,0.002335397152224,0,0,0,0,0,0
0,0.000610188243508531,3.90174949250166e-06,0,0,0,0,9.08017721450053e-05,0.000151022507994519,0,3.50324391549889e-05,2.05256819852726e-05,8.37955066602762e-05,0,1.58601448363147e-05,0,0.000734045907832526,0,0
0.000360187258972218,0.00090194993644361,0,0.00018566627935375,0,0,0,0,0,0.000435399527246994,0,0.00107930366000329,6.85921008199786e-05,0.000206723320656276,0.0045598476762589,0.000556192778786919,0.000359452392301169,0.00205014516044474,0
0.000118189108493959,0.000824638077259557,3.60537465173422e-06,0.000149040523331635,0,9.08017721450053e-05,0,0,0.00636392848243555,0,0.00570637875946361,0.00103978802396093,0,0.000253842119098746,0,0.000622448814549935,0.000648852822006017,0,0
0.00013778578558034,0.000978010369938008,0,0.000184341889077822,0,0.000151022507994519,0,0.00636392848243555,0,0,0.00567510028576647,0.000922946357564318,0,0.000312272796767259,0,0.000622856055364001,0.000774956575685551,0,0
0,0,0.000586867478579951,0,0.000714909913122178,0,0.000435399527246994,0,0,0,0,0.000277694910651849,0.00065534411516598,0,0.000441106928489995,4.80442331990191e-05,0,0.000285730956888712,0.000231800620993078
0.000197862009259776,0.000680706822474712,7.38271910639356e-05,0.000194235823908344,0,3.50324391549889e-05,0,0.00570637875946361,0.00567510028576647,0,0,0.000987619649331122,0,0.000298708202934528,0,0.000564005071712237,0.000531678511019112,0,0
0.000475449145683529,0.000203856296629812,3.46453215922641e-05,0.000752689491243209,0,2.05256819852726e-05,0.00107930366000329,0.00103978802396093,0.000922946357564318,0.000277694910651849,0.000987619649331122,0,0,0.000814199416918767,0.000856097894112127,0.000557084540239892,0.000157946124016043,0.00190699753947612,0
0,0.000242545822131787,0.00157042712110362,0,0.002335397152224,8.37955066602762e-05,6.85921008199786e-05,0,0,0.00065534411516598,0,0,0,0,0.000105440300589497,0,0.000169798010771902,0,0
0.00300559929735291,0.000331498776984623,0,0.00297043653245062,0,0,0.000206723320656276,0.000253842119098746,0.000312272796767259,0,0.000298708202934528,0.000814199416918767,0,0,0.000167623362831192,0.00088599882730168,0.000149950047565555,0.000940947075733109,0
0.000310176180909701,0.000913541976292435,5.00298956913797e-06,0.000156743894974254,0,1.58601448363147e-05,0.0045598476762589,0,0,0.000441106928489995,0,0.000856097894112127,0.000105440300589497,0.000167623362831192,0,0.000434314441992092,0.000504525233385059,0.0015465500984922,0
0.000904394326632138,0.000272958761530397,0,0.000903817403695479,0,0,0.000556192778786919,0.000622448814549935,0.000622856055364001,4.80442331990191e-05,0.000564005071712237,0.000557084540239892,0,0.00088599882730168,0.000434314441992092,0,0.000162679187251601,0.000645492299767295,0
0.000236335749336603,0.00182745584872847,0.000193120543924447,0.000107086063954834,0,0.000734045907832526,0.000359452392301169,0.000648852822006017,0.000774956575685551,0,0.000531678511019112,0.000157946124016043,0.000169798010771902,0.000149950047565555,0.000504525233385059,0.000162679187251601,0,2.88428960360193e-05,0
0.00132071729455071,6.52061874638537e-05,0,0.00113188781048772,0,0,0.00205014516044474,0,0,0.000285730956888712,0,0.00190699753947612,0,0.000940947075733109,0.0015465500984922,0.000645492299767295,2.88428960360193e-05,0,0
0,0,0,0,0,0,0,0,0,0.000231800620993078,0,0,0,0,0,0,0,0,0
